tau_p_bs,delta_bs,gamma_bs,eps_bs
.18142734,.59780312,.82441425,.3229278
.17791331,.58622432,.83769417,.28603148
.18289466,.60263789,.85078043,.31097329
.19834949,.65356153,.83861405,.43289688
.17849001,.58812457,.84135526,.28714508
.17665541,.58207959,.84513986,.27081713
.2091734,.68922639,.84639007,.50353926
.19149981,.63099188,.83797574,.38398728
.17602828,.58001316,.83143586,.27761742
.20782867,.68479544,.83140969,.50845128
.18611345,.61324382,.83396161,.34858197
.17308585,.57031786,.81275946,.2720235
.17706674,.58343494,.83336908,.28352678
.16413966,.54084015,.85428441,.1739316
.19800408,.65242344,.83872336,.43030021
.19641279,.64718014,.85065466,.40798259
.14698954,.48433053,.83532953,.064138308
.19769002,.65138865,.85411638,.41403487
.19424325,.64003152,.85468322,.38888383
.17598404,.57986742,.84675735,.26467684
.16249289,.53541404,.84749138,.16717742
.19382855,.63866508,.85598511,.38478214
.19616483,.64636314,.84580821,.41055897
.18565519,.61173385,.84980565,.33158541
.18547902,.61115336,.83807272,.34039003
.16120501,.53117055,.84905708,.156771
.20256145,.66743994,.84831893,.45421946
.19752266,.65083718,.84337908,.42253897
.17236429,.56794035,.84543592,.23971257
.16645515,.54846972,.85241169,.19190261
.18270464,.6020118,.84652412,.31316909
.17411603,.57371229,.83399469,.26162115
.18704888,.61632609,.82612091,.36237437
.19437803,.64047563,.82295555,.41873831
.16649699,.54860759,.83098966,.20879343
.19931132,.65673077,.82718915,.45066139
.18158202,.59831274,.83197141,.3174634
.17646208,.58144259,.83282852,.27959663
.18208411,.59996718,.8496387,.30611104
.20149921,.66393989,.8513186,.44383582
.17546365,.57815272,.84416956,.26303014
.19492857,.64228964,.84778523,.39989853
.17461918,.57537019,.83672506,.26301566
.16130547,.53150153,.81824499,.18106432
.18140617,.59773332,.84743118,.30308071
.21183029,.69798082,.84434855,.5246309
.17715815,.58373612,.84824944,.27190173
.17163543,.56553876,.84193909,.2372486
.19427522,.64013684,.83656555,.40533304
.17543931,.57807255,.81139076,.29051906
.18534979,.61072761,.82899022,.34744021
.18008438,.59337801,.84872526,.29251829
.16555355,.54549897,.83443868,.19923054
.18222822,.60044199,.82177663,.33110526
.18551084,.61125821,.83708674,.34147915
.16937315,.55808455,.83805496,.22401294
.18258071,.60160345,.81951886,.33569697
.17433517,.57443434,.8401975,.25812405
.17045771,.56165814,.8160224,.24994577
.17489307,.57627267,.83276445,.26827225
.19348998,.63754946,.81651509,.41836724
.17719096,.58384424,.83810753,.28046632
.17724945,.58403689,.82805949,.28934482
.17445405,.57482606,.83244628,.2653524
.20759901,.68403876,.82407582,.51410651
.18963555,.62484908,.83268607,.37525085
.15896966,.52380502,.84334177,.14491145
.18169919,.59869879,.82896656,.3209219
.19558391,.644449,.87057805,.38470313
.18087775,.59599221,.84460074,.30164182
.17412664,.57374728,.84599149,.2519424
.15914968,.52439815,.84808701,.14272876
.17960638,.59180301,.83783293,.29815271
.17428121,.5742566,.83166867,.2647438
.18309253,.6032899,.83952349,.32189986
.18446819,.60782272,.81909978,.3498846
.17492916,.57639158,.8325119,.2687439
.18312198,.60338688,.84962171,.31356993
.18150619,.59806287,.855636,.29703173
.16536124,.54486531,.8277697,.20309825
.18382111,.60569054,.8268128,.33825123
.18881485,.62214494,.84250486,.36059168
.17238672,.56801426,.84323865,.24162455
.15629986,.51500803,.84981871,.12102908
.18190402,.5993737,.83341432,.31855229
.19388336,.63884568,.82561809,.41262436
.16835904,.55474305,.84303892,.21277082
.19417226,.63979763,.8569296,.38641393
.16796756,.55345309,.84950352,.20495491
.19560601,.64452177,.85306656,.40005693
.18649513,.61450142,.82889307,.35585332
.18087944,.59599775,.84246969,.30343899
.18102044,.59646237,.84678471,.30084723
.16532566,.54474807,.84249806,.19133472
.1967147,.64817494,.81657821,.44194451
.18332142,.60404402,.82833517,.33327067
.16379322,.53969866,.82135254,.19678399
.16561797,.54571122,.83559448,.19879264
.16864598,.5556885,.8548457,.20573391
.17137848,.56469208,.84894389,.22986212
.18314919,.60347658,.84323901,.31914145
.18670757,.61520147,.83603644,.35105628
.17437707,.57457244,.84581763,.25388253
.19126084,.6302045,.8542251,.36795434
.17723642,.58399403,.82635605,.29070392
.19258808,.63457769,.83471912,.39480668
.18324834,.60380328,.83349138,.32822984
.19227879,.63355863,.83786088,.38972068
.17220393,.56741196,.84100878,.24209212
.17255794,.56857836,.81942725,.26245129
.18959011,.62469941,.8285591,.37865821
.19982785,.65843278,.82938468,.45231384
.16733514,.55136931,.84712017,.20224422
.19133237,.63044012,.84657317,.37513667
.17113487,.56388944,.83743066,.23724598
.19544189,.64398104,.8363831,.41394037
.16236256,.53498465,.83567262,.1751691
.20309389,.6691944,.8410548,.46485522
.15850982,.52228987,.83016187,.15143205
.1893097,.62377548,.83106607,.3743481
.22460224,.74006438,.84507167,.61580592
.17458864,.57526958,.84306073,.25762796
.1872685,.61704969,.82463849,.3653166
.18817699,.62004322,.84072077,.35755703
.19549254,.64414787,.83231091,.41807491
.19018748,.6266678,.84775138,.36587951
.1714569,.56495047,.84253377,.23548798
.1853358,.61068147,.84182769,.33610484
.19365743,.63810122,.84373093,.39438644
.19240174,.6339637,.84155017,.38729221
.1822502,.60051441,.83753729,.31751463
.15368891,.50640494,.82846648,.11766079
.17074436,.56260264,.86000693,.21678655
.18474221,.60872561,.83661079,.33633462
.17852199,.58822995,.84861636,.2813935
.17892215,.58954847,.83425516,.29622498
.19820307,.65307915,.8537125,.41806629
.15964399,.52602696,.85479236,.14141259
.17219394,.56737906,.82266241,.25706539
.15106878,.49777165,.84382743,.087669075
.17766154,.58539474,.82513314,.29484963
.19882129,.65511614,.83600414,.43874401
